Office Code,Office Name,Office Name in Bangla,Office Address,Mobile,Email,is Payment office,Payment office Code
243,"ESU, Dighinala,Khagrachari","দিঘীনালা বিদ্যুৎ সরবরাহ, বিউবো, খাগড়াছড়ি","Dighinala, Khagrachari",,,FALSE,141
244,"Distribution Division, Bandarban","বিতরণ বিভাগ, বিউবো, বান্দরবান",Bandarban,,,FALSE,141
249,"Chief Engineer, Distribution Zone, Comilla","প্রধান প্রকৌশলীর দপ্তর, বিতরণ, কুমিল্লা অঞ্চল","Biddyut Bhaban,Jangalia, Comilla",,,FALSE,147
250,"Computer Centre, Comilla","কম্পিউটার সেন্টার, বিউবো, কুমিল্লা","Jangalia, Biddyut Bhaban, Comilla",,,FALSE,147
251,"O&M Circle, Comilla","পরিচালন ও সংরক্ষণ সার্কেল, বিউবো, কুমিল্লা","Biddyut Bhaban,Jangalia,Comilla",,,FALSE,147
252,"Sales and Distribution Division-1, Comilla","বিক্রয় ও বিতরণ বিভাগ-১, বিউবো, কুমিল্লা","Shashangasa, Comilla",,,FALSE,147
253,"ESU,Burichang, Comilla","বুড়িচং বিদ্যুৎ সরবরাহ, বিউবো, কুমিল্লা","Palpara, Comilla",,,FALSE,147
254,"Sales and Distribution Division-2, Comilla","বিক্রয় ও বিতরণ বিভাগ-২, বিউবো, কুমিল্লা","Balutupa, Comilla",,,FALSE,147
255,"ESU, Chaddagram, Comilla","চৌদ্দগ্রাম বিদ্যুৎ সরবরাহ, বিউবো, কুমিল্লা","Chouddagram, Comilla",,,FALSE,147
256,"Sales and Distribution Division-3, Comilla","বিক্রয় ও বিতরণ বিভাগ-৩, বিউবো, কুমিল্লা","Jangali, Comilla",,,FALSE,147
257,"Sales and Distribution Division, Daulatganj","বিক্রয় ও বিতরণ বিভাগ, বিউবো, দৌলতগঞ্জ, কুমিল্লা","Daulatganj, Laksam Comilla",,,FALSE,147
258,"Sales and Distribution Division, Chandpur","বিক্রয় ও বিতরণ বিভাগ, বিউবো, চাঁদপুর","Sales & Distribution Division, Chandpur",,,FALSE,568
